name,neighborhood,region,address,rating,review_count,price_level,overall_vibe,good_for_dates,instagrammable,seating_capacity,open_weekends,open_after_5pm,hours_mon,website,place_id
SusieCakes - Brentwood,Brentwood,West LA,"11708 San Vicente Blvd, Los Angeles, CA 90049, USA",4.5,151,PRICE_LEVEL_MODERATE,"bakery counter experience, celebration-focused, instagrammable desserts",False,False,small (<15),True,True,10:00 AM – 7:00 PM,https://susiecakes.com/locations/brentwood,ChIJMWmGgKC8woAR0aA549-GlN4
Malou Coffee,Brentwood,West LA,"912 S Barrington Ave, Los Angeles, CA 90049, USA",4.4,141,,"japanese matcha focused, vibrant and cozy, dog-friendly community vibes",False,True,medium (15-40),True,True,6:30 AM – 6:00 PM,https://www.maloucoffee.com/,ChIJPbTEUgC7woAR9Q8-X_h4D44
Caffe Luxxe,Brentwood,West LA,"11640 San Vicente Blvd #101, Los Angeles, CA 90049, USA",4.4,193,,"artisanal european coffee focus, premium neighborhood spot, upscale quality-first",False,True,large (40+),True,True,6:30 AM – 5:00 PM,https://www.caffeluxxe.com/,ChIJ83Ob_V-7woARyB2vkPZjBEc
Winston Pies,Brentwood,West LA,"11678 San Vicente Blvd, Los Angeles, CA 90049, USA",4.4,173,PRICE_LEVEL_MODERATE,"artisan pie bakery, community gathering spot, quality-focused",False,True,medium (15-40),True,True,Closed,http://www.winstonpies.com/,ChIJ3ZVZdaC8woARKOlC-VP_NBk
PopUp Bagels,Brentwood,West LA,"11710 San Vicente Blvd, Los Angeles, CA 90049, USA",4.4,53,,"nyc bagel shop, fresh daily bagels, dip-and-schmear concept",False,True,small (<15),True,False,6:00 AM – 4:00 PM,https://www.popupbagels.com/,ChIJsxl2EcW9woAR_fayUUtU1Zg
Coral Tree Cafe,Brentwood,West LA,"11645 San Vicente Blvd, Los Angeles, CA 90049, USA",4.3,1023,PRICE_LEVEL_MODERATE,"celebrity hotspot, upscale brunch energy, coffee shop vibes",False,False,medium (15-40),True,True,7:30 AM – 9:00 PM,http://coraltreecafe.com/?y_source=1_ODIwOTg5NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJAxCHD6C8woARyGTn5MorDgM
La La Land,Brentwood,West LA,"11698 San Vicente Blvd, Los Angeles, CA 90049, USA",4.3,72,,"bright yellow aesthetic, busy chain energy, sunshine-filled",False,False,medium (15-40),True,True,6:30 AM – 7:00 PM,https://lalalandcafe.com/pages/brentwood,ChIJO7smAAC9woARk24cTKwxK3I
Ting’s Sweet Confections 暖禾糕点,Brentwood,West LA,"11712 Darlington Ave, Los Angeles, CA 90049, USA",3,2,,,False,False,small (<15),False,False,,https://tingssweetconfiction.square.site/,ChIJHbs_5FK7woARLBiqoGaH8wA
"The Conservatory for Coffee, Tea & Cocoa",Culver City,West LA,"10117 Washington Blvd, Culver City, CA 90232, USA",4.8,720,PRICE_LEVEL_INEXPENSIVE,"specialty coffee roastery, cozy living room feel, local artists & vinyl culture",False,False,medium (15-40),False,False,8:00 AM – 2:00 PM,https://conservatorycoffeeandtea.com/?shpxid=09663ebf-31d3-4189-8500-2d63e07ccc6b,ChIJIT-KMC-6woARiA7LLbQRvOY
esme,Culver City,West LA,"3837 Main St, Culver City, CA 90232, USA",4.7,154,,"intimate mediterranean, persian-influenced, high-end casual dining",False,False,medium (15-40),True,True,Closed,http://www.esme-la.com/,ChIJt-kxTKq7woAR01uWSUcIe9s
Cafe Vida,Culver City,West LA,"9755 Culver Blvd, Culver City, CA 90232, USA",4.6,1311,PRICE_LEVEL_MODERATE,"vibrant brunch spot, family-oriented staff energy, casual weekend destination",False,False,medium (15-40),True,True,8:00 AM – 3:00 PM,https://cafevida.net/?y_source=1_MTY5MTI3NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJyVlW-ii6woARqQ0-QpeiQ9M
Metro Cafe,Culver City,West LA,"11188 Washington Pl, Culver City, CA 90232, USA",4.6,1192,PRICE_LEVEL_MODERATE,"cozy breakfast spot, welcoming atmosphere, french toast destination",False,False,medium (15-40),True,True,7:00 AM – 3:00 PM,http://metrocafela.com/,ChIJ422pIT-6woARwDVX8i5qYyQ
MillCross Coffee / La Sabina Wine Bar,Culver City,West LA,"11050 Washington Blvd, Culver City, CA 90232, USA",4.6,578,PRICE_LEVEL_MODERATE,"dog-friendly patio, wine bar vibe, house-roasted specialty coffee",False,False,medium (15-40),True,True,7:00 AM – 6:00 PM,http://millcrosscoffee.com/,ChIJ61o0Yme7woARtxJz_cdk3x8
The Spot Cafe & Lounge,Culver City,West LA,"4455 Overland Ave, Culver City, CA 90230, USA",4.6,197,PRICE_LEVEL_INEXPENSIVE,"beach-town charm, friendly neighborhood vibe, relaxed lounge atmosphere",False,False,medium (15-40),True,True,7:00 AM – 5:00 PM,,ChIJDRoA-iG6woARs_8PoAHspmk
Breakaway Cafe,Culver City,West LA,"8686 Washington Blvd, Culver City, CA 90232, USA",4.5,191,PRICE_LEVEL_MODERATE,"breakfast-focused Mediterranean food, relaxed unfussy vibe, friendly attentive service",False,True,medium (15-40),True,False,8:00 AM – 3:00 PM,http://www.breakawaycafela.com/,ChIJgwGGBOe5woAR7H7AIjxyxJo
Cognoscenti Coffee,Culver City,West LA,"6114 Washington Blvd, Culver City, CA 90232, USA",4.5,407,PRICE_LEVEL_INEXPENSIVE,"neighborhood gem, relaxed, specialty single-origin coffee",False,True,medium (15-40),True,False,7:00 AM – 4:00 PM,http://www.cogcoffee.com/,ChIJhxIlWpy5woARe6w1IL9WMrs
Tanner's Coffee Co.,Culver City,West LA,"Tanner's Coffee Co, 4342 Sepulveda Blvd, Culver City, CA 90230, USA",4.5,554,PRICE_LEVEL_INEXPENSIVE,"chess community, chill low-key, neighborhood spot",False,False,medium (15-40),True,True,7:00 AM – 5:00 PM,,ChIJG4tFWBa6woARIRW1qb9BIN8
Destroyer,Culver City,West LA,"3578 Hayden Ave, Culver City, CA 90232, USA",4.4,1402,PRICE_LEVEL_MODERATE,"michelin-quality brunch, modern minimalist, inventive creative dishes",True,True,medium (15-40),True,False,8:00 AM – 3:00 PM,http://destroyer.la/,ChIJv4oUtZq5woARx5Em5PykPOY
Go Get Em Tiger,Culver City,West LA,"10000 Washington Blvd #103, Culver City, CA 90232, USA",4.3,203,PRICE_LEVEL_MODERATE,"brunch-focused, contemporary, welcoming",False,False,medium (15-40),True,True,6:00 AM – 5:00 PM,https://www.gget.com/,ChIJ-_WVism7woARtFM-6MzTdPA
Super Domestic Coffee,Culver City,West LA,"10054 Culver Blvd, Culver City, CA 90232, USA",4.2,307,,"cyclist-inspired concept, minimalist quirky, dog-friendly",False,True,small (<15),True,True,7:00 AM – 5:00 PM,http://superdomestic.coffee/,ChIJX58dQKu7woARO-ld1WCoCJM
Philz Coffee,Culver City,West LA,"9300 Culver Blvd #113, Culver City, CA 90232, USA",4.1,245,PRICE_LEVEL_MODERATE,"pour-over specialty coffee, upscale casual, curated seasonal drinks",False,False,medium (15-40),True,True,5:30 AM – 6:30 PM,https://philzcoffee.com/locations/culver-city?utm_source=gmb&utm_medium=yext,ChIJRbSR6Cm6woARs9AsDSd8UIc
Bldg 306,Dewey Ave,,"Dewey Ave, Los Angeles, CA 90049, USA",4.1,40,,"casual dining, veteran-focused, hole-in-the-wall",False,False,medium (15-40),False,False,7:00 AM – 1:45 PM,,ChIJIzVMgOO9woARTbXStFx1yC4
Kind Grounds,Mar Vista,West LA,"3759 Sawtelle Blvd, Los Angeles, CA 90066, USA",4.7,168,,"cozy hangout, outdoor patio focus, specialty matcha drinks",False,False,medium (15-40),True,False,7:00 AM – 3:00 PM,http://www.kindgrounds.com/,ChIJDyemGsy7woARP9HcdNTI7BQ
The Boy & The Bear - Coffee Roastery,Mar Vista,West LA,"12712 Washington Blvd Suite 101, Los Angeles, CA 90066, USA",4.6,372,PRICE_LEVEL_INEXPENSIVE,"specialty coffee focused, modern minimalist, neighborhood reliable",False,True,large (40+),True,False,7:00 AM – 4:00 PM,http://www.theboyandthebear.com/,ChIJIUR8I2G6woAR_CX2MxkKOj4
Jurassic Magic Coffee,Mid-City,Central LA,"1865 S Mansfield Ave, Los Angeles, CA 90019, USA",4.7,426,PRICE_LEVEL_INEXPENSIVE,"instagram-aesthetic craft coffee, journal-and-work friendly garden spaces, curated minimal vibes",True,True,medium (15-40),True,False,7:00 AM – 4:00 PM,https://www.jurassicmagic.xyz/,ChIJcf2UMQO5woARfUKkuMQX5d8
Eyes Peeled Coffee,Palms,West LA,"2839 S Robertson Blvd, Los Angeles, CA 90034, USA",4.8,236,,"specialty matcha focus, multi-roaster specialty coffee, welcoming neighborhood spot",False,False,medium (15-40),True,False,7:00 AM – 4:00 PM,http://instagram.com/eyespeeledcoffee,ChIJDyTCU3-5woARuHeJYxpXe4c
Bonsai Coffee & Bar,Sawtelle,West LA,"11573 Santa Monica Blvd, Los Angeles, CA 90025, USA",4.4,322,PRICE_LEVEL_INEXPENSIVE,"student hangout, matcha specialty, busy and vibrant",False,True,medium (15-40),True,True,7:00 AM – 8:00 PM,http://www.bonsaicoffeebar.com/,ChIJ_-Eb1R67woAR-PhKp3x-_DY
Coffee Tomo,Sawtelle,West LA,"11309 Mississippi Ave, Los Angeles, CA 90025, USA",4.2,317,PRICE_LEVEL_INEXPENSIVE,"specialty coffee focus, japanese minimal aesthetic, pastry-forward",False,True,medium (15-40),True,True,7:30 AM – 5:30 PM,,ChIJ-WkX2XS7woARkFl1H26Twh4
"The Butcher, The Baker, The Cappuccino Maker",Sunset Strip,,"8653 Sunset Blvd, West Hollywood, CA 90069, USA",4.7,4059,PRICE_LEVEL_MODERATE,"bustling brunch destination, instagram-worthy colorful lattes, modern california cuisine",False,False,large (40+),True,True,8:00 AM – 5:00 PM,https://www.bbcmcafe.com/,ChIJOd2I0Ly-woAR_hEFYtqTFiQ
Tuscan Son Cafe Breakfast/Lunch/Dinner,West Los Angeles,West LA,"10700 Santa Monica Blvd #150, Los Angeles, CA 90025, USA",4.5,246,PRICE_LEVEL_MODERATE,"unpretentious italian, casual counter service, neighborhood gem",False,False,medium (15-40),True,True,9:30 AM – 9:00 PM,http://tuscansonla.com/,ChIJg2bYNJu7woARspVl5Nf8mVM
Cafe Olivia,West Los Angeles,West LA,"10740 Santa Monica Blvd, Los Angeles, CA 90025, USA",4.3,8,,"quality coffee focus, calm oasis, hotel-attached charm",False,False,large (40+),True,True,"7:00 AM – 1:00 PM, 1:30 – 8:00 PM",,ChIJN_i-Y5W7woARksX0bZxo7P4
Driply Coffee Space,Westwood,West LA,"741 Gayley Ave, Los Angeles, CA 90024, USA",5,24,,"chill, cozy, welcoming, specialty-coffee, work-friendly, artisan, calm",False,True,medium (15-40),True,False,9:00 AM – 3:00 PM,https://www.driply.coffee/,ChIJESgdc5i9woARy1iD7Y2CQIs
Way Home Coffee,Westwood,West LA,"11049 Santa Monica Blvd, Los Angeles, CA 90025, USA",4.8,55,,"korean-inspired, bright and homey, creative specialty drinks",True,True,medium (15-40),True,True,Closed,http://wayhomecoffee.com/,ChIJr_ylDUC7woARAIrrRiyRTig
Upside Down,Westwood,West LA,"10962 Le Conte Ave, Los Angeles, CA 90024, USA",4.8,155,,"communal third space, donation-based model, local art and events",False,False,large (40+),False,False,9:00 AM – 3:00 PM,http://upsidedown.com/,ChIJx-YmSLC9woARGa_M8BAejdg
Boondocks Coffee Roasters,Westwood,West LA,"1087 Broxton Ave, Los Angeles, CA 90024, USA",4.7,70,,"specialty coffee focused, filipino-inspired drinks, welcoming community vibe",False,False,medium (15-40),True,False,8:00 AM – 4:00 PM,http://www.boondocksroasters.com/,ChIJzcf8TgC9woARtkTn-ptb4wQ
Diddy Riese,Westwood,West LA,"926 Broxton Ave, Los Angeles, CA 90024, USA",4.6,2461,PRICE_LEVEL_INEXPENSIVE,"classic ice cream sandwich, affordable dessert spot, quick casual stand",False,False,small (<15),True,True,Closed,http://www.diddyriese.com/,ChIJD28uC4S8woARUk1Z5qNqmjk
The Study,Westwood,West LA,"250 De Neve Dr, Los Angeles, CA 90024, USA",4.5,152,,"student hangout, event venue, late-night spot",False,False,large (40+),True,True,7:00 AM – 12:00 AM,https://housing.ucla.edu/dining-services/the-study-at-hedrick,ChIJHdkHEpK8woARBj3RptYbUII
Trimana,Westwood,West LA,"10920 Wilshire Blvd Ste 110, Los Angeles, CA 90024, USA",4.5,20,PRICE_LEVEL_INEXPENSIVE,"casual lunch spot, good value, friendly service",False,False,medium (15-40),False,False,7:00 AM – 3:30 PM,https://www.trimanaucla.com/,ChIJLeoaG367woAR7bmHynPdaqg
Café 1919,Westwood,West LA,"330 De Neve Dr, Los Angeles, CA 90095, USA",4.5,66,PRICE_LEVEL_INEXPENSIVE,"pizza-focused, quick service, gelato-centric",False,False,large (40+),False,True,5:00 – 10:00 PM,https://dining.ucla.edu/cafe-1919/,ChIJRxZS_I28woARkbLYZ2ThMUk
SIPP COFFEE HOUSE,Westwood,West LA,"1427 Westwood Blvd, Los Angeles, CA 90024, USA",4.4,166,PRICE_LEVEL_INEXPENSIVE,"persian-inspired, study-friendly, warm and welcoming",True,True,medium (15-40),True,True,7:00 AM – 6:00 PM,https://www.sipplacoffee.com/,ChIJ_QIYqCm7woARDChddex9orI
Bluestone Lane Westwood Coffee Shop,Westwood,West LA,"950 Westwood Blvd, Los Angeles, CA 90024, USA",4.3,242,PRICE_LEVEL_MODERATE,"australian brunch chain, generous staff, specialty coffee",False,False,medium (15-40),True,False,6:30 AM – 4:00 PM,https://bluestonelane.com/?y_source=1_MjY0ODQ3NDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJJXHT4LS9woARyL7sbitjv8o
Espresso Profeta,Westwood,West LA,"1129 Glendon Ave, Los Angeles, CA 90024, USA",4.3,643,PRICE_LEVEL_MODERATE,"exposed brick vintage, ucla student hangout, quirky aesthetic",False,True,medium (15-40),True,False,8:00 AM – 3:00 PM,https://www.espressoprofetalosangeles.com/,ChIJkydzloG8woARi25SOkVMPx4
Kerckhoff Coffee House,Westwood,West LA,"308 Westwood Plaza #2, Los Angeles, CA 90095, USA",4.3,196,PRICE_LEVEL_INEXPENSIVE,"study-friendly campus spot, live music atmosphere, cozy with courtyard",False,False,large (40+),False,True,7:00 AM – 6:00 PM,https://www.asucla.ucla.edu/ucla/kerckhoff-coffeehouse,ChIJLRWe7Yi8woARWSwZigJvSAE
Mary and Robb's Westwood Cafe an American diner,Westwood,West LA,"1455 Westwood Blvd, Los Angeles, CA 90024, USA",4.3,702,PRICE_LEVEL_MODERATE,"casual and homey, rustic diner, attentive service",False,False,medium (15-40),True,True,7:30 AM – 9:30 PM,https://www.westwood.cafe/,ChIJuaOiyni7woARea26cB8nuu0
Stella Coffee Westwood,Westwood,West LA,"10990 Wilshire Blvd #180, Los Angeles, CA 90024, USA",4.3,37,PRICE_LEVEL_MODERATE,"french bulldog themed, dog rescue focused, cozy study spot",False,True,medium (15-40),False,False,6:00 AM – 1:00 PM,https://stellacoffeela.com/,ChIJFdr9FFO7woAR2-SCzgbtF9A
Espressoteric Coffee Co.,Westwood,West LA,"1311 Westwood Blvd, Los Angeles, CA 90024, USA",4.2,163,PRICE_LEVEL_INEXPENSIVE,"quiet and peaceful, specialty matcha focus, locally rooted",False,True,medium (15-40),True,True,8:00 AM – 5:00 PM,,ChIJu18GY0m7woARJwBGwsa3N88
Northern Lights Cafe,Westwood,West LA,"Royce Dr, Los Angeles, CA 90095, USA",4.2,92,PRICE_LEVEL_INEXPENSIVE,"college campus café, quick pick-me-up spot, rotating panini menu",False,False,large (40+),False,False,10:00 AM – 4:00 PM,http://northern-lights-cafe.cafes-city.com/,ChIJfUxggIm8woARsTzCoYXq4Bw
Bruin Cafe,Westwood,West LA,"350 De Neve Dr, Los Angeles, CA 90024, USA",4.2,68,PRICE_LEVEL_INEXPENSIVE,"quick takeout, student hangout, late night spot",False,False,large (40+),True,True,11:00 AM – 9:00 PM,https://dining.ucla.edu/bruin-cafe/,ChIJezN24o28woARcqiE5XHiRhc
Comoncy,Westwood,West LA,"10900 Wilshire Blvd #170A, Los Angeles, CA 90024, USA",4.1,55,PRICE_LEVEL_MODERATE,"office building spot, patio seating, casual sandwich spot",False,True,medium (15-40),False,False,8:00 AM – 3:00 PM,https://www.comoncy.com/?y_source=1_MTAyMDk4NTQyMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,ChIJIwGeGH67woARq-doWvExMCA
Ministry of Coffee,Westwood,West LA,"1010 Glendon Ave, Los Angeles, CA 90024, USA",4.1,466,PRICE_LEVEL_MODERATE,"australian cafe chain, aesthetic and cozy, student-friendly",False,False,medium (15-40),True,True,6:30 AM – 7:00 PM,https://mocaustralia.com/,ChIJ18pBDYG8woAR1OMcBik4g6M
Scrubjay Café,Westwood,West LA,"100 Medical Plaza, Los Angeles, CA 90024, USA",4.1,9,,"hospital café, quick grab-and-go, no-frills convenience",False,False,small (<15),False,True,6:30 AM – 6:00 PM,https://www.asucla.ucla.edu/locations,ChIJdWr3rni9woAR_CODIZYRhRo
Habibi Cafe,Westwood,West LA,"940 Broxton Ave, Los Angeles, CA 90024, USA",4,1,,,False,False,small (<15),False,False,,,ChIJrf5jOwC9woARKSasAm9F79Q
Cafe Synapse,Westwood,West LA,"Charles E Young Dr S, Los Angeles, CA 90024, USA",3.8,46,PRICE_LEVEL_MODERATE,"fresh-to-order casual dining, outdoor-focused lunch spot, campus coffee haven",False,False,medium (15-40),False,False,7:00 AM – 3:00 PM,https://www.asucla.ucla.edu/locations,ChIJpUxFboa8woARpraH6YbJeEU
Alfred Coffee,Westwood,West LA,"1154 Westwood Blvd, Los Angeles, CA 90024, USA",3.7,151,,"art deco chic, specialty matcha drinks, ucla hangout spot",False,False,medium (15-40),True,True,7:00 AM – 6:00 PM,https://alfred.la/,ChIJx755_Qu9woARKGmYHprkK0c
Anderson Cafe,Westwood,West LA,"110 Westwood Plaza, Los Angeles, CA 90077, USA",3.3,32,,"student-focused, food-forward, inconsistent service",False,False,medium (15-40),True,True,7:00 AM – 7:00 PM,,ChIJ99Yi5Nu9woARG62g6qTSbx8
Cafe Bagel,Westwood,West LA,"520 S Sepulveda Blvd, Los Angeles, CA 90049, USA",,,,,False,False,,False,False,,https://ordercafebagelvenice.com/,ChIJX0K7tk-9woARbpNfYtIhjgQ
